Study	Article Title	Journal	Primary Synthesis Domain	Contributions to the Exposure–Conversion Synthesis
Bao et al. (2026)	Customer flow spillovers in retailers' short- and long-term decisions: Profitability and dynamic mechanisms	Journal of Retailing and Consumer Services	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes
Bhowmick & Mitra (2019)	Listen to me, my neighbors or my friend? Role of complementary modalities for predicting business popularity in location based social networks	Computer Communications	Services, hospitality, and non-retail local markets	Location-based marketing linked to offline behavior; Spatial access and market exposure
Bizjak et al. (2025)	COVID-19 Vaccinations, Business Activity, and Firm Value	Journal of Financial and Quantitative Analysis	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Calderwood & Freathy (2014)	Consumer mobility in the Scottish isles: The impact of internet adoption upon retail travel patterns	Transportation Research Part A: Policy and Practice	Retail traffic, visits, and store conversion	Local conditions shaping conversion
Charles et al. (2025)	Consumer sentiment towards Asians in the early days of the Covid-19 pandemic	Journal of Public Economics	Services, hospitality, and non-retail local markets	Mobility traces linked to market outcomes; Local conditions shaping conversion
Cheruiyot et al. (2026)	Consumer mobility and shopping mall visitation data from smartphone tracking in Johannesburg, South Africa	Data in Brief	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes
Chun et al. (2024)	The rise of e-commerce and generational consumption inequality: Evidence from COVID-19 in South Korea	Regional Science and Urban Economics	Local consumption and spending flows	Mobility traces linked to market outcomes; Spatial access and market exposure; Local consumption and spending flows; Local conditions shaping conversion
Cinderby & Bagwell (2018)	Exploring the co-benefits of urban green infrastructure improvements for businesses and workers’ wellbeing	Area	Commercial districts, market areas, and spatial infrastructure	Mobility traces linked to market outcomes; Local conditions shaping conversion
Coscia et al. (2015)	Product assortment and customer mobility	EPJ Data Science	General mobility-market theory and methods	Mobility measurement and visitation evidence; Mobility traces linked to market outcomes; Transferable mobility-market theory or methods
Froot et al. (2022)	Predicting Performance Using Consumer Big Data	Journal of Portfolio Management	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
